dataset,species,source_filepath,cache_path,n_points,plant_id,scan_date,is_annotated,n_raw,n_after_outlier_removal,n_outliers_removed,n_predecimated,n_final,norm_scale,norm_center_x,norm_center_y,norm_center_z
Crops3D,Tomato,../data/crops3d/Tomato/8-22_30-4.ply,../data/preprocessed/Crops3D/Tomato/8-22_30-4.npz,4096,,,,609303,582212,27091,23995,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-22_30-52.ply,../data/preprocessed/Crops3D/Tomato/8-22_30-52.npz,4096,,,,951581,908815,42766,22621,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-22_35-22.ply,../data/preprocessed/Crops3D/Tomato/8-22_35-22.npz,4096,,,,811797,776333,35464,25523,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_1-1.ply,../data/preprocessed/Crops3D/Tomato/8-25_1-1.npz,4096,,,,693989,661591,32398,20885,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_1-55.ply,../data/preprocessed/Crops3D/Tomato/8-25_1-55.npz,4096,,,,1304362,1247891,56471,25633,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_10-3.ply,../data/preprocessed/Crops3D/Tomato/8-25_10-3.npz,4096,,,,1097459,1045553,51906,32005,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_10-53.ply,../data/preprocessed/Crops3D/Tomato/8-25_10-53.npz,4096,,,,1046969,998912,48057,26525,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_2-1.ply,../data/preprocessed/Crops3D/Tomato/8-25_2-1.npz,4096,,,,142475,136702,5773,12973,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_30-4.ply,../data/preprocessed/Crops3D/Tomato/8-25_30-4.npz,4096,,,,531981,508838,23143,22149,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_30-52.ply,../data/preprocessed/Crops3D/Tomato/8-25_30-52.npz,4096,,,,602847,576424,26423,30528,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_35-22.ply,../data/preprocessed/Crops3D/Tomato/8-25_35-22.npz,4096,,,,761093,727191,33902,28141,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_1-1.ply,../data/preprocessed/Crops3D/Tomato/8-28_1-1.npz,4096,,,,694668,663604,31064,19981,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_1-55.ply,../data/preprocessed/Crops3D/Tomato/8-28_1-55.npz,4096,,,,559438,534528,24910,22966,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_10-3.ply,../data/preprocessed/Crops3D/Tomato/8-28_10-3.npz,4096,,,,1129742,1073553,56189,32832,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_10-53.ply,../data/preprocessed/Crops3D/Tomato/8-28_10-53.npz,4096,,,,624644,604315,20329,25730,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_2-1.ply,../data/preprocessed/Crops3D/Tomato/8-28_2-1.npz,4096,,,,349304,333183,16121,17034,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_20-28.ply,../data/preprocessed/Crops3D/Tomato/8-28_20-28.npz,4096,,,,1348477,1297584,50893,21699,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_30-4.ply,../data/preprocessed/Crops3D/Tomato/8-28_30-4.npz,4096,,,,560061,536628,23433,25210,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_30-52.ply,../data/preprocessed/Crops3D/Tomato/8-28_30-52.npz,4096,,,,794714,763889,30825,26346,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_35-22.ply,../data/preprocessed/Crops3D/Tomato/8-28_35-22.npz,4096,,,,1318491,1266324,52167,30962,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_1-1.ply,../data/preprocessed/Crops3D/Tomato/8-31_1-1.npz,4096,,,,373501,358031,15470,19682,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_1-55.ply,../data/preprocessed/Crops3D/Tomato/8-31_1-55.npz,4096,,,,1099080,1057141,41939,28602,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_10-3.ply,../data/preprocessed/Crops3D/Tomato/8-31_10-3.npz,4096,,,,1126362,1078705,47657,38269,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_10-53.ply,../data/preprocessed/Crops3D/Tomato/8-31_10-53.npz,4096,,,,1054630,1013415,41215,31588,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_2-1.ply,../data/preprocessed/Crops3D/Tomato/8-31_2-1.npz,4096,,,,288551,277298,11253,20700,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_20-28.ply,../data/preprocessed/Crops3D/Tomato/8-31_20-28.npz,4096,,,,1317277,1267659,49618,26780,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_30-4.ply,../data/preprocessed/Crops3D/Tomato/8-31_30-4.npz,4096,,,,715852,688097,27755,20932,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_35-22.ply,../data/preprocessed/Crops3D/Tomato/8-31_35-22.npz,4096,,,,486520,460449,26071,29322,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_1-1.ply,../data/preprocessed/Crops3D/Tomato/9-14_1-1.npz,4096,,,,1065099,1015626,49473,28487,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_1-55.ply,../data/preprocessed/Crops3D/Tomato/9-14_1-55.npz,4096,,,,730519,700727,29792,20247,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_10-3.ply,../data/preprocessed/Crops3D/Tomato/9-14_10-3.npz,4096,,,,1094013,1047872,46141,29230,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_10-53.ply,../data/preprocessed/Crops3D/Tomato/9-14_10-53.npz,4096,,,,950967,913761,37206,27760,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_2-1.ply,../data/preprocessed/Crops3D/Tomato/9-14_2-1.npz,4096,,,,477818,458851,18967,21368,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_30-4.ply,../data/preprocessed/Crops3D/Tomato/9-14_30-4.npz,4096,,,,1164597,1120369,44228,27079,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_1-1.ply,../data/preprocessed/Crops3D/Tomato/9-3_1-1.npz,4096,,,,600581,576278,24303,25752,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_1-55.ply,../data/preprocessed/Crops3D/Tomato/9-3_1-55.npz,4096,,,,1209363,1162274,47089,24048,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_10-3.ply,../data/preprocessed/Crops3D/Tomato/9-3_10-3.npz,4096,,,,724995,694884,30111,35771,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_10-53.ply,../data/preprocessed/Crops3D/Tomato/9-3_10-53.npz,4096,,,,1163846,1116401,47445,32570,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_2-1.ply,../data/preprocessed/Crops3D/Tomato/9-3_2-1.npz,4096,,,,416232,400215,16017,20362,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_20-28.ply,../data/preprocessed/Crops3D/Tomato/9-3_20-28.npz,4096,,,,2158075,2057791,100284,30084,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_30-4.ply,../data/preprocessed/Crops3D/Tomato/9-3_30-4.npz,4096,,,,746428,717611,28817,23111,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_30-52.ply,../data/preprocessed/Crops3D/Tomato/9-3_30-52.npz,4096,,,,871296,836679,34617,23240,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_35-22.ply,../data/preprocessed/Crops3D/Tomato/9-3_35-22.npz,4096,,,,1818335,1737077,81258,29333,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_1-1.ply,../data/preprocessed/Crops3D/Tomato/9-6_1-1.npz,4096,,,,686470,658540,27930,23116,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_1-55.ply,../data/preprocessed/Crops3D/Tomato/9-6_1-55.npz,4096,,,,1204764,1156800,47964,26837,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_10-3.ply,../data/preprocessed/Crops3D/Tomato/9-6_10-3.npz,4096,,,,1356467,1293425,63042,39748,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_10-53.ply,../data/preprocessed/Crops3D/Tomato/9-6_10-53.npz,4096,,,,1325991,1268803,57188,30471,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_2-1.ply,../data/preprocessed/Crops3D/Tomato/9-6_2-1.npz,4096,,,,354155,339909,14246,17549,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_20-28.ply,../data/preprocessed/Crops3D/Tomato/9-6_20-28.npz,4096,,,,1199025,1152005,47020,27559,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_30-4.ply,../data/preprocessed/Crops3D/Tomato/9-6_30-4.npz,4096,,,,651656,625675,25981,21781,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_30-52.ply,../data/preprocessed/Crops3D/Tomato/9-6_30-52.npz,4096,,,,950111,912110,38001,26702,4096,,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_35-22.ply,../data/preprocessed/Crops3D/Tomato/9-6_35-22.npz,4096,,,,1472565,1405547,67018,33612,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-1.ply,../data/preprocessed/Crops3D/Maize/1-1.npz,4096,,,,10772,10405,367,10405,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-100.ply,../data/preprocessed/Crops3D/Maize/1-100.npz,4096,,,,280501,272621,7880,6350,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-102.ply,../data/preprocessed/Crops3D/Maize/1-102.npz,4096,,,,148781,145331,3450,5126,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-103.ply,../data/preprocessed/Crops3D/Maize/1-103.npz,4096,,,,137501,134415,3086,4760,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-105.ply,../data/preprocessed/Crops3D/Maize/1-105.npz,4096,,,,428495,416434,12061,9496,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-106.ply,../data/preprocessed/Crops3D/Maize/1-106.npz,4096,,,,302666,291051,11615,5052,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-107.ply,../data/preprocessed/Crops3D/Maize/1-107.npz,4096,,,,167300,161903,5397,6005,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-108.ply,../data/preprocessed/Crops3D/Maize/1-108.npz,4096,,,,227838,223124,4714,4893,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-110.ply,../data/preprocessed/Crops3D/Maize/1-110.npz,4096,,,,165323,161868,3455,5213,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-111.ply,../data/preprocessed/Crops3D/Maize/1-111.npz,4096,,,,214518,207936,6582,5332,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-113.ply,../data/preprocessed/Crops3D/Maize/1-113.npz,4096,,,,304438,296203,8235,7022,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-114.ply,../data/preprocessed/Crops3D/Maize/1-114.npz,4096,,,,143500,136858,6642,5513,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-115.ply,../data/preprocessed/Crops3D/Maize/1-115.npz,4096,,,,62932,61278,1654,61278,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-116.ply,../data/preprocessed/Crops3D/Maize/1-116.npz,4096,,,,164440,159854,4586,4763,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-117.ply,../data/preprocessed/Crops3D/Maize/1-117.npz,4096,,,,128336,125620,2716,4327,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-118.ply,../data/preprocessed/Crops3D/Maize/1-118.npz,4096,,,,371527,363445,8082,5762,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-120.ply,../data/preprocessed/Crops3D/Maize/1-120.npz,4096,,,,224447,218326,6121,6216,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-121.ply,../data/preprocessed/Crops3D/Maize/1-121.npz,4096,,,,178013,172270,5743,6302,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-122.ply,../data/preprocessed/Crops3D/Maize/1-122.npz,4096,,,,46372,45122,1250,45122,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-123.ply,../data/preprocessed/Crops3D/Maize/1-123.npz,4096,,,,457347,442797,14550,5953,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-125.ply,../data/preprocessed/Crops3D/Maize/1-125.npz,4096,,,,146546,142973,3573,142973,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-127.ply,../data/preprocessed/Crops3D/Maize/1-127.npz,4096,,,,304946,292075,12871,6767,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-19.ply,../data/preprocessed/Crops3D/Maize/1-19.npz,4096,,,,14799,14150,649,14150,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-21.ply,../data/preprocessed/Crops3D/Maize/1-21.npz,4096,,,,38607,37073,1534,37073,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-22.ply,../data/preprocessed/Crops3D/Maize/1-22.npz,4096,,,,10987,10676,311,10676,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-24.ply,../data/preprocessed/Crops3D/Maize/1-24.npz,4096,,,,22527,21684,843,21684,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-3.ply,../data/preprocessed/Crops3D/Maize/1-3.npz,4096,,,,10161,9766,395,9766,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-4.ply,../data/preprocessed/Crops3D/Maize/1-4.npz,4096,,,,57317,54760,2557,8045,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-5.ply,../data/preprocessed/Crops3D/Maize/1-5.npz,4096,,,,15126,14397,729,14397,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-50.ply,../data/preprocessed/Crops3D/Maize/1-50.npz,4096,,,,81159,77902,3257,7217,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-51.ply,../data/preprocessed/Crops3D/Maize/1-51.npz,4096,,,,164663,157330,7333,10882,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-52.ply,../data/preprocessed/Crops3D/Maize/1-52.npz,4096,,,,38904,37295,1609,37295,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-53.ply,../data/preprocessed/Crops3D/Maize/1-53.npz,4096,,,,210597,200305,10292,8316,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-54.ply,../data/preprocessed/Crops3D/Maize/1-54.npz,4096,,,,30651,29592,1059,29592,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-55.ply,../data/preprocessed/Crops3D/Maize/1-55.npz,4096,,,,135109,128644,6465,7934,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-56.ply,../data/preprocessed/Crops3D/Maize/1-56.npz,4096,,,,94407,90690,3717,6346,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-58.ply,../data/preprocessed/Crops3D/Maize/1-58.npz,4096,,,,128270,123457,4813,7459,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-59.ply,../data/preprocessed/Crops3D/Maize/1-59.npz,4096,,,,173578,166065,7513,7546,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-60.ply,../data/preprocessed/Crops3D/Maize/1-60.npz,4096,,,,198835,192234,6601,6466,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-61.ply,../data/preprocessed/Crops3D/Maize/1-61.npz,4096,,,,23742,22803,939,22803,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-62.ply,../data/preprocessed/Crops3D/Maize/1-62.npz,4096,,,,62070,59896,2174,6332,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-63.ply,../data/preprocessed/Crops3D/Maize/1-63.npz,4096,,,,21584,20906,678,20906,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-64.ply,../data/preprocessed/Crops3D/Maize/1-64.npz,4096,,,,47250,45618,1632,45618,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-65.ply,../data/preprocessed/Crops3D/Maize/1-65.npz,4096,,,,74902,72640,2262,8133,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-67.ply,../data/preprocessed/Crops3D/Maize/1-67.npz,4096,,,,115216,112416,2800,6137,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-68.ply,../data/preprocessed/Crops3D/Maize/1-68.npz,4096,,,,22085,21455,630,21455,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-69.ply,../data/preprocessed/Crops3D/Maize/1-69.npz,4096,,,,38584,37460,1124,37460,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-70.ply,../data/preprocessed/Crops3D/Maize/1-70.npz,4096,,,,18316,17807,509,17807,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-71.ply,../data/preprocessed/Crops3D/Maize/1-71.npz,4096,,,,62108,60184,1924,6348,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-72.ply,../data/preprocessed/Crops3D/Maize/1-72.npz,4096,,,,67442,64412,3030,7528,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-73.ply,../data/preprocessed/Crops3D/Maize/1-73.npz,4096,,,,44819,43481,1338,43481,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-74.ply,../data/preprocessed/Crops3D/Maize/1-74.npz,4096,,,,93102,90471,2631,6588,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-75.ply,../data/preprocessed/Crops3D/Maize/1-75.npz,4096,,,,204185,196631,7554,6255,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-76.ply,../data/preprocessed/Crops3D/Maize/1-76.npz,4096,,,,97748,93231,4517,7073,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-77.ply,../data/preprocessed/Crops3D/Maize/1-77.npz,4096,,,,73389,70857,2532,6004,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-78.ply,../data/preprocessed/Crops3D/Maize/1-78.npz,4096,,,,28761,27739,1022,27739,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/1-8.ply,../data/preprocessed/Crops3D/Maize/1-8.npz,4096,,,,43230,41880,1350,41880,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-1.ply,../data/preprocessed/Crops3D/Maize/2-1.npz,4096,,,,58051,56053,1998,7681,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-10.ply,../data/preprocessed/Crops3D/Maize/2-10.npz,4096,,,,92022,89092,2930,7367,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-100.ply,../data/preprocessed/Crops3D/Maize/2-100.npz,4096,,,,101117,98900,2217,6486,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-101.ply,../data/preprocessed/Crops3D/Maize/2-101.npz,4096,,,,50694,49116,1578,49116,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-102.ply,../data/preprocessed/Crops3D/Maize/2-102.npz,4096,,,,90827,87746,3081,8837,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-103.ply,../data/preprocessed/Crops3D/Maize/2-103.npz,4096,,,,69716,66800,2916,7870,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-104.ply,../data/preprocessed/Crops3D/Maize/2-104.npz,4096,,,,91414,88995,2419,10355,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-105.ply,../data/preprocessed/Crops3D/Maize/2-105.npz,4096,,,,61913,60727,1186,16477,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-106.ply,../data/preprocessed/Crops3D/Maize/2-106.npz,4096,,,,50050,48761,1289,48761,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-107.ply,../data/preprocessed/Crops3D/Maize/2-107.npz,4096,,,,94533,90894,3639,9397,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-108.ply,../data/preprocessed/Crops3D/Maize/2-108.npz,4096,,,,67842,65826,2016,7341,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-109.ply,../data/preprocessed/Crops3D/Maize/2-109.npz,4096,,,,95259,92279,2980,6133,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-11.ply,../data/preprocessed/Crops3D/Maize/2-11.npz,4096,,,,110551,105022,5529,9947,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-110.ply,../data/preprocessed/Crops3D/Maize/2-110.npz,4096,,,,67782,65350,2432,10692,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-111.ply,../data/preprocessed/Crops3D/Maize/2-111.npz,4096,,,,27280,26568,712,26568,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-113.ply,../data/preprocessed/Crops3D/Maize/2-113.npz,4096,,,,40321,38641,1680,38641,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-114.ply,../data/preprocessed/Crops3D/Maize/2-114.npz,4096,,,,50665,48420,2245,48420,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-115.ply,../data/preprocessed/Crops3D/Maize/2-115.npz,4096,,,,83607,80520,3087,5725,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-116.ply,../data/preprocessed/Crops3D/Maize/2-116.npz,4096,,,,36798,35503,1295,35503,4096,,,,
Crops3D,Maize,../data/crops3d/Maize/2-117.ply,../data/preprocessed/Crops3D/Maize/2-117.npz,4096,,,,42751,41046,1705,41046,4096,,,,
