plant_id,species,trait,n_points_fit,n_excluded_low_confidence,logistic_K,logistic_B,logistic_rho,logistic_R2,logistic_fit_quality,logistic_y0_hat,gompertz_A,gompertz_Bg,gompertz_beta,gompertz_R2,gompertz_fit_quality,gompertz_alpha_hat,gompertz_y0hat_log
M07,Maize,stem_diameter,12,0,36.389710157513655,8.762723385840538,0.24274693886783053,0.7809481883595965,poor,3.727413829044038,67.2715454117751,2.9723215119636706,0.09111204482435661,0.7827746336186867,poor,0.38346666563542664,1.2364158330785084
T01,Tomato,height,20,0,460.59644763728096,17.70606779438555,0.11733979350424835,0.9868091210073378,ok,24.622836434684828,828.0945149585859,3.6797485335394886,0.0415774445100122,0.9813515180354316,poor,0.2793641423205953,3.0393787628320346
T01,Tomato,stem_diameter,19,1,733.134706481329,379.8881927483447,0.21168143171145695,0.5442280752174693,poor,1.9248029223255967,733.1347071111113,9.880564059750276,0.0831213979540251,0.5213442720288479,poor,0.5483792474827418,-3.2832345996989245
T02,Tomato,height,20,0,167.27840013742676,7.483661731961465,0.1251310930104678,0.9767659496134227,ok,19.717712165163277,378.89787952546527,2.9831286831102846,0.04203294967554223,0.9760110118660407,ok,0.24956083331981643,2.9541380385023723
T02,Tomato,stem_diameter,19,1,352.9066425750578,33.405398505450975,0.0655957212132112,0.12541108072778273,poor,10.25730431574991,352.9066425742995,3.460493400713875,0.018537823469031864,0.10798295389228751,poor,0.10874664590498812,2.4057101526133806
T03,Tomato,height,20,0,695.2050168108234,15.864107294730776,0.06442611905354641,0.9633540352998122,poor,41.2239441235079,695.2050168108234,2.8690567402849427,0.025902988307256767,0.9479989742736658,poor,0.16951451196892775,3.675150049996392
T03,Tomato,stem_diameter,19,1,322.48696579568383,52.802018150647925,0.09566245094712726,0.31652067509097326,poor,5.993956674500698,322.4869657953288,4.064828077600837,0.029707641366756035,0.2953665371219508,poor,0.17159319977627643,1.7112346416797202
T04,Tomato,height,20,0,641.4275033540376,21.77682820675549,0.08241810044574772,0.975213239038007,poor,28.16140586088249,641.4275033714499,3.218363362005757,0.03240460186322426,0.9593211371089063,poor,0.209453500842133,3.2453328045513823
T04,Tomato,stem_diameter,19,1,200.31605639993725,11.525473941197284,0.016840485249460364,0.037579103189920526,poor,15.992692758801066,200.31605629972142,2.5279445649984305,0.006333685144931396,0.03699519716425648,poor,0.033567875102888736,2.771951835717322
T05,Tomato,height,20,0,867.8600089459163,25.214649957643015,0.08788004158979906,0.9699470830183541,poor,33.10591636158343,867.8600089538212,3.3703626507557063,0.03366160954369667,0.94802237336884,poor,0.22775547421422818,3.3956677708905065
T05,Tomato,stem_diameter,20,0,372.2206042032608,22.53507676457432,0.03687019740030152,0.06496785739290123,poor,15.815567883064569,372.22060468066576,3.164860861440466,0.012179353690649288,0.06365673967069918,poor,0.0720955222087973,2.7546258403989516
T06,Tomato,height,20,0,694.3344637394114,21.727131018961032,0.08153312246172648,0.9638278102167791,poor,30.55090689450132,694.3344637394039,3.2125155669789547,0.031944163334288456,0.9462304872405009,poor,0.209009184257361,3.330438213657811
T06,Tomato,stem_diameter,20,0,37.49117313782502,0.6918607127553916,0.018873181373471517,0.024706294752922298,poor,22.15972795819952,37.49117313757519,0.5274448938933208,0.015331568452580428,0.025001806328355136,poor,0.0555632218940794,3.0966606283781237
T07,Tomato,height,20,0,493.00318686034484,17.49169626646687,0.10937318322320777,0.9890656826107719,ok,26.66078761818971,807.4024560384385,3.5621229977194013,0.039839744410907804,0.9851289522253472,poor,0.2666801675849794,3.13169925260519
T07,Tomato,stem_diameter,18,2,171.19343469223264,19.176060979554215,0.08479164104902831,0.13909872325882644,poor,8.484978057199305,367.8169306964984,3.8260096072964216,0.02532154339785995,0.13672721385382458,poor,0.14958917865087704,2.081575736159363
